,Pass-Simple pass-accurate,Pass-High pass-accurate,Pass-Head pass-accurate,Pass-Simple pass-not accurate,Duel-Air duel-accurate,Duel-Air duel-not accurate,Pass-High pass-not accurate,Pass-Head pass-not accurate,Duel-Ground loose ball duel-not accurate,Duel-Ground attacking duel-accurate,Free Kick-Free Kick-accurate,Pass-Cross-assist,Pass-Cross-accurate,Shot-Shot-accurate,Duel-Ground loose ball duel-accurate,Duel-Ground defending duel-accurate,Others on the ball-Clearance-not accurate,Duel-Ground defending duel-not accurate,Others on the ball-Touch-interception,Duel-Ground attacking duel-not accurate,Others on the ball-Acceleration-accurate,Shot-Shot-not accurate,Free Kick-Corner-accurate,Foul,Free Kick-Throw in-accurate,Free Kick-Throw in-not accurate,Others on the ball-Touch,Pass-Cross-not accurate,Pass-Smart pass-accurate,Pass-Cross-key pass,Pass-Smart pass-not accurate,Free Kick-Corner-not accurate,Others on the ball-Clearance-accurate,Others on the ball-Touch-missed ball,Pass-Simple pass-assist,Pass-Launch-accurate,Pass-Smart pass-key pass,Pass-Simple pass-key pass,Pass-Launch-not accurate,Free Kick-Free Kick-not accurate,Pass-Head pass-assist,Others on the ball-Touch-counter attack,Free Kick-Free kick cross-accurate,Foul-yellow card,Others on the ball-Touch-opportunity,Others on the ball-Touch-feint,Free Kick-Free kick shot-accurate,Pass-High pass-key pass,Free Kick-Free kick shot-not accurate,Pass-Smart pass-assist,Free Kick-Free kick cross-not accurate,Others on the ball-Clearance,Others on the ball-Acceleration-not accurate,Free Kick-Goal kick,Others on the ball-Touch-dangerous ball lost,Foul-red card,Foul-second yellow card,Pass-Head pass-key pass,Free Kick-Penalty,Free Kick-Penalty-not accurate,Pass-High pass-assist,Pass-Hand pass-accurate,victory-defeat
11,-102.0,0.0,7.0,8.0,-15.0,15.0,3.0,-4.0,2.0,-20.0,7.0,0.0,-2.0,-4.0,-2.0,16.0,6.0,9.0,4.0,-5.0,-11.0,-10.0,-6.0,-12.0,-8.0,1.0,-4.0,-2.0,-1.0,0.0,-2.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
12,451.0,2.0,4.0,-5.0,2.0,-2.0,-8.0,3.0,2.0,12.0,1.0,1.0,2.0,4.0,-2.0,-9.0,-2.0,-8.0,-7.0,5.0,2.0,8.0,4.0,1.0,1.0,-1.0,22.0,1.0,3.0,0.0,7.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13,-451.0,-2.0,-4.0,5.0,-2.0,2.0,8.0,-3.0,-2.0,-12.0,-1.0,0.0,-2.0,-4.0,2.0,9.0,2.0,8.0,7.0,-5.0,-2.0,-8.0,-4.0,-1.0,-1.0,1.0,-22.0,-1.0,0.0,0.0,-7.0,2.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1
14,-130.0,-10.0,-4.0,-8.0,7.0,-7.0,-1.0,-1.0,6.0,-19.0,-2.0,0.0,-6.0,0.0,-7.0,2.0,17.0,7.0,22.0,9.0,1.0,-19.0,0.0,3.0,-12.0,2.0,-21.0,-12.0,0.0,-1.0,-6.0,0.0,1.0,1.0,0.0,-3.0,0.0,0.0,-1.0,1.0,0.0,0.0,2.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
15,130.0,10.0,4.0,8.0,-7.0,7.0,1.0,1.0,-6.0,19.0,2.0,0.0,6.0,2.0,7.0,-2.0,-17.0,-7.0,-22.0,-9.0,-1.0,19.0,10.0,-3.0,12.0,-2.0,21.0,12.0,6.0,1.0,6.0,3.0,-1.0,-1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1
16,-61.0,3.0,-4.0,-7.0,-4.0,6.0,0.0,-1.0,0.0,1.0,-6.0,0.0,3.0,0.0,1.0,-6.0,9.0,2.0,-4.0,4.0,-4.0,-4.0,-1.0,5.0,-1.0,0.0,-10.0,2.0,-7.0,1.0,5.0,1.0,-4.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
17,61.0,-3.0,4.0,7.0,4.0,-6.0,0.0,1.0,0.0,-1.0,6.0,0.0,-3.0,0.0,-1.0,6.0,-9.0,-2.0,4.0,-4.0,4.0,4.0,1.0,-5.0,1.0,0.0,10.0,-2.0,7.0,-1.0,-5.0,0.0,4.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1
18,-358.0,3.0,5.0,8.0,-8.0,8.0,4.0,2.0,0.0,-16.0,-9.0,0.0,-6.0,4.0,0.0,12.0,-3.0,10.0,3.0,-7.0,1.0,4.0,4.0,9.0,12.0,4.0,-22.0,-5.0,-2.0,0.0,-4.0,2.0,5.0,-3.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,358.0,-3.0,-5.0,-8.0,8.0,-8.0,-4.0,-2.0,0.0,16.0,9.0,0.0,6.0,-4.0,0.0,-12.0,3.0,-10.0,-3.0,7.0,-1.0,-4.0,-4.0,-9.0,-12.0,-4.0,22.0,5.0,2.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
20,-66.0,3.0,-10.0,-17.0,4.0,-4.0,-1.0,-5.0,1.0,16.0,-13.0,0.0,4.0,4.0,4.0,0.0,-3.0,17.0,2.0,-7.0,9.0,6.0,-2.0,6.0,3.0,2.0,6.0,6.0,9.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,66.0,-3.0,10.0,17.0,-4.0,4.0,1.0,5.0,-1.0,-16.0,13.0,0.0,-4.0,-4.0,-4.0,0.0,3.0,-17.0,-2.0,7.0,0.0,-6.0,2.0,-6.0,-3.0,-2.0,-6.0,-6.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,-2.0,0.0,0.0,-3.0,3.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
22,-224.0,-7.0,-6.0,-5.0,-11.0,4.0,-4.0,3.0,5.0,6.0,-3.0,0.0,-9.0,0.0,-9.0,-15.0,18.0,-1.0,8.0,0.0,-1.0,-11.0,-2.0,0.0,2.0,5.0,-31.0,-10.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,-3.0,0.0,0.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23,224.0,7.0,6.0,5.0,11.0,-4.0,4.0,-3.0,-5.0,-6.0,3.0,0.0,9.0,0.0,9.0,15.0,-18.0,1.0,-8.0,0.0,1.0,11.0,2.0,0.0,-2.0,-5.0,31.0,10.0,3.0,2.0,1.0,-2.0,0.0,-6.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
24,62.0,-8.0,6.0,-10.0,5.0,-12.0,-1.0,4.0,-5.0,-22.0,4.0,0.0,-3.0,-2.0,4.0,14.0,6.0,8.0,5.0,0.0,9.0,-3.0,4.0,4.0,-7.0,1.0,14.0,5.0,-4.0,0.0,-7.0,0.0,0.0,-3.0,1.0,2.0,0.0,-3.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25,-62.0,8.0,-6.0,10.0,-5.0,12.0,1.0,-4.0,5.0,22.0,-4.0,0.0,3.0,2.0,-4.0,-14.0,-6.0,-8.0,-5.0,0.0,-9.0,3.0,-4.0,-4.0,7.0,-1.0,-14.0,-5.0,4.0,2.0,7.0,0.0,0.0,3.0,0.0,-2.0,0.0,3.0,-1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
26,-91.0,-3.0,0.0,7.0,5.0,-5.0,-5.0,0.0,-1.0,7.0,-1.0,0.0,2.0,2.0,-1.0,8.0,3.0,-13.0,-1.0,-5.0,2.0,6.0,0.0,-3.0,-10.0,5.0,-2.0,-3.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27,91.0,3.0,0.0,-7.0,-5.0,5.0,5.0,0.0,1.0,-7.0,1.0,0.0,-2.0,-2.0,1.0,-8.0,-3.0,13.0,1.0,5.0,-2.0,-6.0,0.0,3.0,10.0,-5.0,2.0,3.0,0.0,-1.0,0.0,0.0,-2.0,-2.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1
28,-391.0,6.0,-18.0,-10.0,-4.0,7.0,-8.0,3.0,1.0,-11.0,-7.0,0.0,-4.0,-12.0,-4.0,-3.0,16.0,6.0,12.0,-2.0,0.0,-7.0,-2.0,0.0,-6.0,3.0,-27.0,-12.0,-3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
29,391.0,-6.0,18.0,10.0,4.0,-7.0,8.0,-3.0,-1.0,11.0,7.0,0.0,4.0,12.0,4.0,3.0,-16.0,-6.0,-12.0,2.0,2.0,7.0,2.0,0.0,6.0,-3.0,27.0,12.0,3.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,1.0,0.0,-2.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30,231.0,-7.0,5.0,7.0,17.0,-15.0,3.0,-13.0,11.0,32.0,6.0,0.0,7.0,4.0,-9.0,-14.0,-16.0,-22.0,-8.0,4.0,1.0,7.0,2.0,-3.0,2.0,0.0,28.0,7.0,6.0,1.0,5.0,4.0,0.0,7.0,0.0,2.0,2.0,5.0,-4.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
31,-231.0,7.0,-5.0,-7.0,-17.0,15.0,-3.0,13.0,-11.0,-32.0,-6.0,1.0,-7.0,-4.0,9.0,14.0,16.0,22.0,8.0,-4.0,-1.0,-7.0,-2.0,3.0,-2.0,0.0,-28.0,-7.0,0.0,0.0,-5.0,0.0,1.0,-7.0,0.0,-2.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
32,467.0,9.0,4.0,11.0,-4.0,4.0,9.0,1.0,3.0,15.0,4.0,0.0,11.0,2.0,0.0,-7.0,-12.0,-16.0,-17.0,0.0,3.0,7.0,6.0,5.0,13.0,0.0,37.0,10.0,3.0,1.0,11.0,1.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
33,-467.0,-9.0,-4.0,-11.0,4.0,-4.0,-9.0,-1.0,-3.0,-15.0,-4.0,0.0,-11.0,-2.0,0.0,7.0,12.0,16.0,17.0,0.0,-3.0,-7.0,-6.0,-5.0,-13.0,5.0,-37.0,-10.0,-3.0,-1.0,-11.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
34,-185.0,-2.0,7.0,5.0,4.0,-12.0,-5.0,1.0,2.0,-26.0,-2.0,0.0,1.0,-6.0,-4.0,1.0,-1.0,12.0,-9.0,3.0,-7.0,-3.0,0.0,1.0,7.0,3.0,-10.0,1.0,-2.0,1.0,-4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
35,185.0,2.0,-7.0,-5.0,-4.0,12.0,5.0,-1.0,-2.0,26.0,2.0,0.0,-1.0,6.0,4.0,-1.0,1.0,-12.0,9.0,-3.0,7.0,3.0,0.0,-1.0,-7.0,0.0,10.0,-1.0,2.0,0.0,4.0,2.0,0.0,-1.0,1.0,0.0,0.0,0.0,-3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36,-282.0,0.0,-4.0,-11.0,4.0,-4.0,4.0,0.0,11.0,-27.0,-5.0,0.0,2.0,-4.0,-9.0,23.0,17.0,17.0,15.0,-4.0,6.0,-6.0,-6.0,8.0,-17.0,0.0,-13.0,-18.0,-6.0,0.0,-1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,6.0,-1.0,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
37,282.0,0.0,4.0,11.0,-4.0,4.0,-4.0,0.0,-11.0,27.0,5.0,0.0,-2.0,4.0,9.0,-23.0,-17.0,-17.0,-15.0,4.0,-6.0,6.0,6.0,-8.0,17.0,0.0,13.0,18.0,6.0,0.0,1.0,5.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
38,28.0,9.0,2.0,1.0,-5.0,6.0,-2.0,4.0,-3.0,-22.0,0.0,0.0,1.0,0.0,3.0,7.0,-3.0,10.0,8.0,5.0,-6.0,2.0,2.0,6.0,-9.0,-7.0,-1.0,-4.0,0.0,0.0,1.0,2.0,0.0,-2.0,0.0,-1.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
39,-28.0,-9.0,-2.0,-1.0,5.0,-6.0,2.0,-4.0,3.0,22.0,0.0,1.0,-1.0,5.0,-3.0,-7.0,3.0,-10.0,-8.0,-5.0,6.0,-2.0,-2.0,-6.0,9.0,7.0,1.0,4.0,0.0,1.0,-1.0,-2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40,-339.0,5.0,-11.0,-12.0,-16.0,11.0,11.0,-4.0,-5.0,-23.0,-4.0,0.0,-8.0,-5.0,-4.0,2.0,10.0,9.0,10.0,-3.0,-7.0,-3.0,0.0,-1.0,-19.0,3.0,-21.0,-12.0,-7.0,0.0,0.0,2.0,-2.0,-2.0,0.0,0.0,0.0,1.0,-2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
41,339.0,-5.0,11.0,12.0,16.0,-11.0,-11.0,4.0,5.0,23.0,4.0,1.0,8.0,5.0,4.0,-2.0,-10.0,-9.0,-10.0,3.0,7.0,3.0,5.0,1.0,19.0,-3.0,21.0,12.0,7.0,1.0,7.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
42,-128.0,1.0,-7.0,2.0,-3.0,2.0,1.0,7.0,4.0,-33.0,0.0,0.0,-1.0,-6.0,-12.0,5.0,7.0,16.0,-1.0,-6.0,-11.0,-5.0,-3.0,-4.0,-5.0,-1.0,-4.0,-6.0,-5.0,1.0,-7.0,0.0,-2.0,-4.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
43,128.0,-1.0,7.0,-2.0,3.0,-2.0,-1.0,-7.0,-4.0,33.0,0.0,1.0,1.0,6.0,12.0,-5.0,-7.0,-16.0,1.0,6.0,11.0,5.0,3.0,4.0,5.0,1.0,4.0,6.0,5.0,0.0,7.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44,-27.0,-1.0,-9.0,2.0,-13.0,2.0,4.0,4.0,-14.0,-2.0,3.0,0.0,-6.0,1.0,8.0,-1.0,6.0,5.0,7.0,-1.0,3.0,-10.0,0.0,1.0,-8.0,1.0,-14.0,-11.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,4.0,1.0,-3.0,0.0,2.0,0.0,0.0,0.0,2.0,-3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
